87.95	648.91
90.69	648.91
93.43	648.91
96.17	633.70
98.91	955.02
101.65	1121.52
104.38	1015.60
107.11	939.86
109.84	1078.67
112.57	1249.97
115.30	970.17
118.02	871.64
120.75	1002.98
123.47	922.18
126.19	1227.32
128.91	1081.19
131.62	1038.31
134.34	1058.49
137.05	1151.76
139.76	1126.56
142.47	1169.40
145.18	1113.96
147.88	1000.46
150.59	1129.08
153.29	1661.80
155.99	1679.34
158.69	1812.02
161.39	2014.45
164.08	1996.98
166.78	1969.50
169.47	2353.42
172.16	2313.60
174.85	2385.76
177.54	2649.11
180.22	2887.06
182.90	3000.89
185.59	3280.04
188.27	3870.70
190.94	4017.91
193.62	4848.81
196.30	5657.44
198.97	6814.55
201.64	8501.53
204.31	10608.73
206.98	13200.83
209.65	16747.79
212.31	20871.34
214.97	25631.32
217.64	29500.62
220.30	31534.07
222.95	31662.78
225.61	29485.35
228.26	25849.91
230.92	20950.79
233.57	16707.33
236.22	13425.70
238.87	11170.90
241.51	9746.07
244.16	8743.26
246.80	7814.39
249.44	7102.32
252.08	6677.65
254.72	6106.98
257.36	5991.11
259.99	5882.40
262.62	5647.75
265.25	5575.10
267.88	5337.49
270.51	5475.74
273.14	5565.41
275.76	5497.56
278.39	5693.75
281.01	5751.82
283.63	6029.75
286.24	6732.91
288.86	7186.14
291.48	7962.08
294.09	9206.61
296.70	11066.09
299.31	13138.82
301.92	15918.91
304.52	19311.06
307.13	23696.56
309.73	28219.53
312.33	32807.90
314.93	35295.44
317.53	36580.91
320.13	34550.04
322.72	30288.33
325.32	24846.18
327.91	19191.16
330.50	14173.66
333.08	11856.07
335.67	9513.10
338.26	8451.71
340.84	7537.64
343.42	7085.55
346.00	6713.69
348.58	6509.35
351.16	6073.20
353.73	5814.71
356.31	5550.88
358.88	5470.90
361.45	5533.91
364.02	5436.95
366.59	5429.68
369.15	5281.66
371.71	5213.67
374.28	5403.00
376.84	5267.10
379.40	5045.96
381.95	5097.02
384.51	5233.10
387.07	5087.30
389.62	5281.66
392.17	5189.38
394.72	5033.80
397.27	5468.47
399.81	5118.90
402.36	5288.95
404.90	5347.20
407.44	5138.35
409.98	5237.96
412.52	5461.20
415.06	5548.45
417.59	5913.81
420.13	6362.51
422.66	6888.95
425.19	7809.62
427.72	8923.11
430.25	10288.18
432.77	12214.79
435.30	14353.82
437.82	17212.38
440.34	20376.55
442.86	25467.35
445.38	31156.66
447.89	38312.46
450.41	45903.93
452.92	54800.32
455.43	63315.68
457.94	71228.43
460.45	75659.42
462.96	74156.34
465.46	67088.96
467.97	57938.92
470.47	46100.06
472.97	34068.26
475.47	24644.86
477.97	18710.96
480.46	15491.68
482.96	13191.65
485.45	11205.81
487.94	9296.27
490.43	8002.56
492.92	6867.35
495.40	6364.92
497.89	5930.73
500.37	5201.52
502.86	5026.50
505.34	4758.65
507.81	4802.52
510.29	4485.35
512.77	4524.43
515.24	4465.81
517.71	4482.91
520.19	4399.82
522.66	4390.05
525.12	4402.27
527.59	4587.91
530.06	4333.81
532.52	4543.96
534.98	4409.60
537.44	4402.27
539.90	4321.58
542.36	4289.78
544.81	4353.37
547.27	4365.60
549.72	4402.27
552.17	4512.22
554.62	4565.94
557.07	4407.16
559.52	4573.26
561.96	4536.64
564.41	4429.15
566.85	4524.43
569.29	4409.60
571.73	4399.82
574.17	4551.29
576.60	4458.48
579.04	4164.94
581.47	4201.67
583.90	4228.60
586.33	4145.34
